"","authors","participants","ptsd_n","male","mpercent","female","fpercent","age","ptsd","mptsd","fptsd","war","aftermath","measure","country","econindex","measures1","qualityassessment","witnessingexplor","extrdander","witnessinghomedisruction","injury","deathofdearperson","deathofothers","harmfulevents","ownhomedesruction","risklevel","agemin","agemax","qualityl","qualitya","measure_factor","qualityassessment_factor","age_centered","aftermath_centered","quality_centered"
"1","Fayyad",252,89,115,0.456,134,0.532,14.7,0.355,NA,NA,1,0.75,"CRIES","Lebanon",2,1,7,75.4,52.6,38.9,36.5,35.3,29.4,16.3,15.9,2,12,18,7,7,"M1","Quality Rating: 7",-0.465714285714286,-2.97444444444444,0.504787904412304
"2","Abu-Kaf",173,137,65,0.375,108,0.625,15.85,0.791,81,76.9,1,10,"CBCL","Syria",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,13,18,3,1,"M4","Quality Rating: 1",0.684285714285714,6.27555555555556,-2.03934313382571
"3","Al-Hadethe",403,246,248,0.615,155,0.385,17.5,0.61,58,65,0,NA,"SPTSS","Iraq",3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,3,16,19,4,4,"M5","Quality Rating: 4",2.33428571428571,NA,-0.767277614706702
"4","Bhat",797,397,469,0.588,328,0.412,19.9,0.4981,NA,NA,0,NA,"PCL-5","India",2,3,7,7,27.1,NA,0,16.1,26.1,5.3,NA,2,19,24,6,7,"M3","Quality Rating: 7",4.73428571428571,NA,0.504787904412304
"5","Charak",231,5,96,0.416,135,0.584,14.9,0.022,NA,NA,1,0.0833333333333333,"CPSS","Burundi",1,6,9,NA,NA,NA,NA,NA,NA,NA,NA,1,12,21,9,9,"M6","Quality Rating: 9",-0.265714285714285,-3.64111111111111,1.35283158382497
"6","El-Khodary",1029,551,496,0.482,533,0.518,13.71,0.535,NA,NA,1,1,"PTSDSS","Gaza Str",4,7,6,83.7,NA,88.3,88.4,NA,NA,NA,NA,2,11,17,7,6,"M7","Quality Rating: 6",-1.45571428571428,-2.72444444444444,0.0807660647059687
"7","Freh",224,125,120,0.536,104,0.464,15.8,0.558,64.51,48,1,10,"PTSDSS","Iraq",3,7,7,NA,NA,NA,28.7,57.4,NA,NA,13.7,2,12,23,7,7,"M7","Quality Rating: 7",0.634285714285715,6.27555555555556,0.504787904412304
"8","Harb",64,9,24,0.37,40,0.63,13.5,0.139,0,13.9,0,NA,"CRIES","Gaza Str",4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,3,12,16,3,3,"M1","Quality Rating: 3",-1.66571428571429,NA,-1.19129945441304
"9","Kakaje",1369,726,723,0.528,NA,NA,16.38,0.53,NA,NA,1,9,"CRIES","Syria",1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,1,16,18,7,9,"M1","Quality Rating: 9",1.21428571428571,5.27555555555556,1.35283158382497
"10","Lavi",2314,347,1120,0.484,1194,0.516,13.5,0.15,NA,NA,1,0.833333333333333,"CPTS-RI","Israel",4,8,6,NA,NA,NA,NA,NA,NA,NA,NA,2,12,15,6,6,"M8","Quality Rating: 6",-1.66571428571429,-2.89111111111111,0.0807660647059687
"11","Rivera",102,13,40,0.3922,62,0.6078,14.61,0.123,NA,NA,0,NA,"PCL-C","Colombia",3,12,7,NA,NA,NA,NA,NA,NA,NA,NA,2,12,17,7,7,"M12","Quality Rating: 7",-0.555714285714286,NA,0.504787904412304
"12","Mels",952,497,521,0.547,431,0.453,15.83,0.522,NA,NA,0,NA,"IES-R","Congo",2,10,6,NA,NA,NA,NA,NA,NA,NA,NA,2,13,21,5,6,"M10","Quality Rating: 6",0.664285714285715,NA,0.0807660647059687
"13","Okello",551,107,284,0.515,267,0.485,16.72,0.195,20.2,18.75,1,4,"IES-R","Uganda",1,10,7,NA,NA,NA,NA,NA,NA,NA,NA,2,13,21,7,7,"M10","Quality Rating: 7",1.55428571428571,0.275555555555556,0.504787904412304
"14","Osokina",1463,78,693,0.474,770,0.526,13,0.053,NA,NA,0,NA,"HTQ","Ukraine",2,11,9,60.2,NA,NA,13.9,NA,NA,NA,NA,1,11,17,8,9,"M11","Quality Rating: 9",-2.16571428571429,NA,1.35283158382497
"15","Pat-Horenczyk,Â ",482,24,225,0.467,230,0.477,16.29,0.05,NA,NA,1,0.166666666666667,"UCLA-PTS","Israel",4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,3,12,18,3,3,"M2","Quality Rating: 3",1.12428571428571,-3.55777777777778,-1.19129945441304
"16","Shaheen",233,93,70,0.3004,163,0.696,13.49,0.4,NA,NA,0,NA,"UCLA-PTS","Israel",4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,3,11,16,5,3,"M2","Quality Rating: 3",-1.67571428571429,NA,-1.19129945441304
"17","Shoshani",1078,308,536,0.497,542,0.503,13.73,0.286,NA,NA,0,NA,"UCLA-PTS","Gaza Str",4,2,7,7.1,NA,NA,16.1,6.5,NA,NA,1,2,13,15,7,7,"M2","Quality Rating: 7",-1.43571428571429,NA,0.504787904412304
"18","Thabet",358,107,158,0.441,200,0.559,16.7,0.298,NA,NA,1,0.25,"UCLA-PTS","Gaza Str",4,2,4,88.5,NA,NA,NA,NA,NA,NA,NA,3,15,18,4,4,"M2","Quality Rating: 4",1.53428571428571,-3.47444444444444,-0.767277614706702
"19","Uysal",430,263,185,0.43,245,0.57,15.5,0.612,NA,NA,1,4.75,"CRIES","Syria",1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,1,12,18,9,9,"M1","Quality Rating: 9",0.334285714285715,1.02555555555556,1.35283158382497
"20","Yilmaz",119,8,43,0.361,76,0.639,13.5,0.067,4.7,7.9,1,3.86,"DSM-5","Syria",1,9,3,NA,NA,NA,NA,NA,NA,NA,NA,3,12,16,3,3,"M9","Quality Rating: 3",-1.66571428571429,0.135555555555555,-1.19129945441304
"21","Shehadeh",314,145,169,0.538,142,0.452,13.37,0.462,NA,NA,0,NA,"UCLA-PTS","Israel",4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,2,11,18,5,5,"M2","Quality Rating: 5",-1.79571428571429,NA,-0.343255775000367
